"","Label1","Label2","Label3","Label4"
"133",0,0,0,1
"134",0,0,0,1
"135",0,0,0,1
"136",0,0,0,1
"137",0,0,0,1
"138",1,0,0,0
"139",1,0,0,0
"140",1,0,0,0
"141",1,0,0,0
"142",1,0,0,0
"143",1,0,0,0
"144",0,1,0,0
"145",0,0,1,0
"146",0,0,1,0
"147",0,0,1,0
"148",0,0,1,0
"149",0,0,1,0
"150",0,0,1,0
"151",0,0,1,0
"152",0,0,1,0
"153",0,0,0,1
"154",0,0,0,1
"155",0,0,0,1
"156",0,0,0,1
"157",0,0,0,1
"158",1,0,0,0
"159",1,0,0,0
"160",1,0,0,0
"161",1,0,0,0
"162",1,0,0,0
"163",1,0,0,0
"164",1,0,0,0
"165",1,0,0,0
"166",1,0,0,0
"167",1,0,0,0
"168",0,1,0,0
"169",0,0,1,0
"170",0,0,1,0
"171",0,0,1,0
"172",0,0,1,0
"173",0,0,1,0
"174",0,0,1,0
"175",0,0,1,0
"176",0,0,1,0
"177",0,0,1,0
"178",0,0,1,0
"179",0,0,1,0
"180",0,0,1,0
"181",0,0,0,1
"182",0,0,0,1
"183",0,0,0,1
"184",0,0,0,1
"185",0,0,0,1
"186",0,0,0,1
"187",0,0,0,1
"188",1,0,0,0
"189",1,0,0,0
"190",1,0,0,0
"191",1,0,0,0
"192",1,0,0,0
"193",1,0,0,0
"194",1,0,0,0
"195",0,1,0,0
"196",0,0,1,0
"197",0,0,1,0
"198",0,0,1,0
"199",0,0,1,0
"200",0,0,1,0
"201",0,0,1,0
"202",0,0,1,0
"203",0,0,1,0
"204",0,0,1,0
"205",0,0,0,1
"206",0,0,0,1
"207",0,0,0,1
"208",0,0,0,1
"209",0,0,0,1
"210",1,0,0,0
"211",1,0,0,0
"212",1,0,0,0
"213",1,0,0,0
"214",1,0,0,0
"215",1,0,0,0
"216",1,0,0,0
"217",1,0,0,0
"218",1,0,0,0
"219",1,0,0,0
"220",1,0,0,0
"221",0,1,0,0
"222",0,0,1,0
"223",0,0,1,0
"224",0,0,1,0
"225",0,0,1,0
"226",0,0,1,0
"227",0,0,1,0
"228",0,0,1,0
"229",0,0,1,0
"230",0,0,1,0
"231",0,0,1,0
"232",0,0,1,0
"233",0,0,1,0
"234",0,0,0,1
"235",0,0,0,1
"236",0,0,0,1
"237",0,0,0,1
"238",0,0,0,1
"239",0,0,0,1
"240",0,0,0,1
"241",1,0,0,0
"242",1,0,0,0
"243",1,0,0,0
"244",1,0,0,0
"245",1,0,0,0
"246",1,0,0,0
"247",1,0,0,0
"248",0,1,0,0
"249",0,0,1,0
"250",0,0,1,0
"251",0,0,1,0
"252",0,0,1,0
"253",0,0,1,0
"254",0,0,1,0
"255",0,0,1,0
"256",0,0,1,0
"257",0,0,0,1
"258",0,0,0,1
"259",0,0,0,1
"260",0,0,0,1
"261",0,0,0,1
"262",1,0,0,0
"263",1,0,0,0
"264",1,0,0,0
"265",1,0,0,0
"266",1,1,0,0
"267",1,0,0,0
"268",1,0,0,0
"269",1,0,0,0
"270",1,0,0,0
"271",1,0,0,0
"272",1,0,0,0
"273",0,1,0,0
"274",0,0,1,0
"275",0,0,1,0
"276",0,0,1,0
"277",0,0,1,0
"278",0,0,1,0
"279",0,0,1,0
"280",0,0,1,0
"281",0,0,1,0
"282",0,0,1,0
"283",0,0,1,0
"284",0,0,1,0
"285",0,0,1,0
"286",0,0,1,0
"287",0,0,0,1
"288",0,0,0,1
"289",0,0,0,1
"290",0,0,0,1
"291",0,0,0,1
"292",0,0,0,1
"293",0,0,0,1
"294",0,0,0,1
"295",1,0,0,0
"296",1,0,0,0
"297",1,0,0,0
"298",1,0,0,0
"299",1,0,0,0
"300",1,0,0,0
"301",1,0,0,0
"302",0,0,1,0
"303",0,0,1,0
"304",0,0,1,0
"305",0,0,1,0
"306",0,0,1,0
"307",0,0,1,0
"308",0,0,1,0
"309",0,0,1,0
"310",0,0,0,1
"311",0,0,0,1
"312",0,0,0,1
"313",0,0,0,1
"314",1,0,0,0
"315",1,0,0,0
"316",1,0,0,0
"317",1,0,0,0
"318",1,0,0,0
"319",1,0,0,0
"320",1,0,0,0
"321",1,0,0,0
"322",1,0,0,0
"323",1,0,0,0
"324",0,1,0,0
"325",0,0,1,0
"326",0,0,1,0
"327",0,0,1,0
"328",0,0,1,0
"329",0,0,1,0
"330",0,0,1,0
"331",0,0,1,1
"332",0,0,1,0
"333",0,0,1,0
"334",0,0,1,0
"335",0,0,1,0
"336",0,0,1,0
"337",0,0,0,1
"338",0,0,0,1
"339",0,0,0,1
"340",0,0,0,1
"341",0,0,0,1
"342",0,0,0,1
"343",0,0,0,1
"344",1,0,0,0
"345",1,0,0,0
"346",1,0,0,0
"347",1,0,0,0
"348",1,0,0,0
"349",1,0,0,0
"350",1,0,0,0
"351",1,0,0,0
"352",0,0,1,0
"353",0,0,1,0
"354",0,0,1,0
"355",0,0,1,0
"356",0,0,1,0
"357",0,0,1,0
"358",0,0,1,0
"359",0,0,1,0
"360",0,0,1,0
"361",0,0,0,1
"362",0,0,0,1
"363",0,0,0,1
"364",0,0,0,1
"365",0,0,0,1
"366",1,0,0,0
"367",1,0,0,0
"368",1,0,0,0
"369",1,0,0,0
"370",1,0,0,0
"371",1,0,0,0
"372",1,0,0,0
"373",1,0,0,0
"374",1,0,0,0
"375",1,0,0,0
"376",1,0,0,0
"377",0,1,0,0
"378",0,0,1,0
"379",0,0,1,0
"380",0,0,1,0
"381",0,0,1,0
"382",0,0,1,0
"383",0,0,1,0
"384",0,0,1,0
"385",0,0,1,0
"386",0,0,1,0
"387",0,0,1,1
"388",0,0,1,0
"389",0,0,1,0
"390",0,0,1,0
"391",0,0,0,1
"392",0,0,0,1
"393",0,0,0,1
"394",0,0,0,1
"395",0,0,0,1
"396",0,0,0,1
"397",1,0,0,0
"398",1,0,0,0
"399",1,0,0,0
"400",1,0,0,0
"401",1,0,0,0
"402",1,0,0,0
"403",0,1,0,0
"404",0,0,1,0
"405",0,0,1,0
"406",0,0,1,0
"407",0,0,1,0
"408",0,0,1,0
"409",0,0,1,0
"410",0,0,1,0
"411",0,0,1,0
"412",0,0,0,1
"413",0,0,0,1
"414",0,0,0,1
"415",0,0,0,1
"416",0,0,0,1
